id,Categoria,Produto,Preço,Link
501,Memória RAM,"Memória RAM Kingston Fury Beast Expo, 16GB, 6000MT/s, DDR5, DIMM, CL30, Preto - KF560C30BBE-16",499.99,https://www.kabum.com.br/produto/616567/memoria-ram-kingston-fury-beast-expo-16gb-6000mt-s-ddr5-dimm-cl30-preto-kf560c30bbe-16
502,Memória RAM,"Memória RAM Lexar 32GB, 3200MHz, DDR4, CL22, Preto - LD4AU032G-B3200GSST",429.99,https://www.kabum.com.br/produto/548590/memoria-ram-lexar-32gb-3200mhz-ddr4-cl22-preto-ld4au032g-b3200gsst
503,Memória RAM,"Memória RAM Kingston Fury Beast Expo, RGB, 32GB (2X16GB), 6000MT/s, DDR5, DIMM, CL30, Branco - KF560C30BWEAK2-32",1155.99,https://www.kabum.com.br/produto/630659/memoria-ram-kingston-fury-beast-expo-rgb-32gb-2x16gb-6000mt-s-ddr5-dimm-cl30-branco-kf560c30bweak2-32
504,Memória RAM,"Memória RAM Corsair Vengeance RGB RS, 16GB (2x8GB), 3600MHz, DDR4, CL18, Preto - CMG16GX4M2D3600C18",369.99,https://www.kabum.com.br/produto/508091/memoria-ram-corsair-vengeance-rgb-rs-16gb-2x8gb-3600mhz-ddr4-cl18-preto-cmg16gx4m2d3600c18
505,Memória RAM,"Memória Para Notebook Crucial SODIMM 8GB, 3200MHz, DDR4 - CT8G4SFRA32A",165.75,https://www.kabum.com.br/produto/365466/memoria-para-notebook-crucial-sodimm-8gb-3200mhz-ddr4-ct8g4sfra32a
506,Memória RAM,"Memória RAM Gamer Husky Gaming, 4GB, 2666MHz, DDR4, CL19, Preto - HGMF000",89.9,https://www.kabum.com.br/produto/114221/memoria-ram-gamer-husky-gaming-4gb-2666mhz-ddr4-cl19-preto-hgmf000
507,Memória RAM,"Memória RAM Corsair Vengeance RGB Pro, 64GB (2x32GB), 3200MHz, DDR4, CL16, Preto - CMW64GX4M2E3200C16",954.99,https://www.kabum.com.br/produto/111024/memoria-ram-corsair-vengeance-rgb-pro-64gb-2x32gb-3200mhz-ddr4-cl16-preto-cmw64gx4m2e3200c16
508,Memória RAM,"Memória RAM Corsair Vengeance, 32GB (2x16GB), 4800MHz, DDR5, CL40, Preto - CMK32GX5M2A4800C40",741.99,https://www.kabum.com.br/produto/282207/memoria-ram-corsair-vengeance-32gb-2x16gb-4800mhz-ddr5-cl40-preto-cmk32gx5m2a4800c40
509,Memória RAM,"Memória RAM Corsair Vengeance RGB PRO SL, 16GB (2x8GB), 3200MHz, DDR4, CL16, Branco - CMH16GX4M2E3200C16W",379.99,https://www.kabum.com.br/produto/382753/memoria-ram-corsair-vengeance-rgb-pro-sl-16gb-2x8gb-3200mhz-ddr4-cl16-branco-cmh16gx4m2e3200c16w
510,Memória RAM,"Memória RAM XPG Spectrix D50 RGB, 8GB, 3200MHz, DDR4, CL16, Cinza - AX4U32008G16A-ST50",189.99,https://www.kabum.com.br/produto/156588/memoria-ram-xpg-spectrix-d50-rgb-8gb-3200mhz-ddr4-cl16-cinza-ax4u32008g16a-st50
